reviewer,time,context,ranking,Chi nhánh,Sentiment,pre_context,tokens
TaeHyeon Lee,5 năm trước,"Tất nhiên, không có phụ đề tiếng Hàn nên bạn có thể nghĩ phim Hollywood giống như xem chúng mà không có phụ đề.",4,CGV Vincom Đồng Khởi,1,tất nhiên phụ đề tiếng hàn thể phim hollywood phụ đề,"['tất_nhiên', 'phụ_đề', 'tiếng', 'hàn', 'thể', 'phim', 'hollywood', 'phụ_đề']"
TOP Reviewer HQ,5 năm trước,"Nhà hát rất nhỏ.
Có sức chứa từ 32 đến 38 người/phòng.
Vì Vivo City cũng có CGV nên nhiều khách hàng có xu hướng tới đó. Vì vậy, có một …",4,CGV Liberty Citypoint,1,hát sức chứa 32 38 phòng vivo city cgv hàng xu hướng,"['hát', 'sức', 'chứa', '32', '38', 'phòng', 'vivo', 'city', 'cgv', 'hàng', 'xu_hướng']"
Lan Mai (Lilian),4 năm trước,"Một trung tâm mua sắm lớn trong thị trấn, giá tốt và một hiệu sách rất lớn bên trong. Nơi chiếu phim tốt để đi.",4,CGV Sư Vạn Hạnh,1,trung tâm mua sắm thị trấn giá hiệu sách chiếu phim đi,"['trung_tâm', 'mua_sắm', 'thị_trấn', 'giá', 'hiệu', 'sách', 'chiếu_phim', 'đi']"
quang dao vo dinh,4 tháng trước,"Eaon mall bình tân là một trung tâm thương mại trong hệ thống eaon. Nơi này càng ngày càng sầm uất nhộn nhịp. Tôi đã đi nhiều tt thương mại aeon rồi, nơi này tập trung rất nhiều thương hiệu lớn, chuỗi cửa hàng tầm cỡ quốc tế. …",4,CGV AEON Bình Tân,1,eaon mall bình tân trung tâm thương mại hệ thống eaon sầm uất nhộn nhịp đi tt thương mại aeon tập trung thương hiệu chuỗi cửa hàng tầm cỡ quốc tế,"['eaon', 'mall', 'bình', 'tân', 'trung_tâm', 'thương_mại', 'hệ_thống', 'eaon', 'sầm_uất', 'nhộn_nhịp', 'đi', 'tt', 'thương_mại', 'aeon', 'tập_trung', 'thương_hiệu', 'chuỗi', 'cửa_hàng', 'tầm_cỡ', 'quốc_tế']"
nguyễn phú,một năm trước,"Địa điểm có 2 lầu, trông rất thư thái. Quầy vé ở lầu dưới. Màn hình nhỏ, chất lượng ổn. Ước gì giá vé rẻ hơn. …",4,CGV Liberty Citypoint,1,địa 2 lầu trông thư thái quầy vé lầu màn hình chất ổn ước giá vé rẻ,"['địa', '2', 'lầu', 'trông', 'thư_thái', 'quầy', 'vé', 'lầu', 'màn_hình', 'chất', 'ổn', 'ước', 'giá', 'vé', 'rẻ']"
Oliver Vickers,6 năm trước,"Rất hiện đại, bố trí tốt và nhiều sự lựa chọn cho các cửa hàng và thực phẩm.  Có sân thượng với đài phun nước cho trẻ em chơi khá mát mẻ và tôi chưa từng thấy ở Sài Gòn.",4,CGV Vivo City,1,hiện đại bố trí lựa cửa hàng thực phẩm sân thượng đài phun trẻ mát mẻ sài gòn,"['hiện_đại', 'bố_trí', 'lựa', 'cửa_hàng', 'thực_phẩm', 'sân_thượng_đài', 'phun', 'trẻ', 'mát_mẻ', 'sài_gòn']"
Leah Dedicatoria,6 năm trước,"Hầu hết thời gian không có phim tiếng Anh.
Kiểm tra trang web hoặc trang của họ. Vì vậy, bạn có thể xem bộ phim bạn muốn cũng như thời gian và địa điểm",4,CGV CT,1,hầu thời gian phim tiếng kiểm tra trang web trang thể phim thời gian địa,"['hầu', 'thời_gian', 'phim', 'tiếng', 'kiểm_tra', 'trang_web', 'trang', 'thể', 'phim', 'thời_gian', 'địa']"
Kwong Hon,6 năm trước,"Một trong những khu mua sắm phức hợp mới ở Việt Nam, giải thưởng ổn, nơi rất sạch sẽ, dịch vụ của nhân viên đã được cải thiện. Nói chung là một nơi tuyệt vời để mua sắm.",4,CGV AEON Bình Tân,1,khu mua sắm phức hợp việt nam giải thưởng ổn sạch dịch vụ nhân viên cải thiện tuyệt vời mua sắm,"['khu', 'mua_sắm', 'phức_hợp', 'việt', 'nam', 'giải_thưởng', 'ổn', 'sạch', 'dịch_vụ', 'nhân_viên', 'cải_thiện', 'tuyệt_vời', 'mua_sắm']"
Mai Trang,một năm trước,"Khu vực mua vé và đồ ăn uống bên ngoài khá nhỏ so với các rạp CGV khác; phòng chiếu cũng vậy nhưng thấy đỡ đông đúc hơn chỗ khác. Chỗ ngồi thoải mái, rộng rãi; chỗ để chân cũng vậy. Ngồi hàng D, phòng chiếu 2D số 4 thấy vừa nha, không gần …",4,CGV Liberty Citypoint,1,khu vực mua vé đồ uống rạp cgv phòng chiếu đỡ đông đúc chỗ chỗ thoải mái rộng rãi chỗ chân hàng d phòng chiếu 2d 4 nha,"['khu_vực', 'mua', 'vé', 'đồ', 'uống', 'rạp', 'cgv', 'phòng', 'chiếu', 'đỡ', 'đông_đúc', 'chỗ', 'chỗ', 'thoải_mái', 'rộng_rãi', 'chỗ', 'chân_hàng', 'd', 'phòng', 'chiếu', '2d', '4', 'nha']"
Duy Ngo,6 năm trước,"Mình đã xem phim ở đó rồi, view xấu quá.  Màn hình và không gian rạp chiếu phim cũng vậy. Không có gì đặc biệt.",4,CGV Vincom Gò vấp,0,phim view xấu màn hình gian rạp chiếu phim đặc biệt,"['phim', 'view', 'xấu', 'màn_hình', 'gian', 'rạp', 'chiếu_phim', 'đặc_biệt']"
Hung Nguyen Thai,8 năm trước,"CGV thường đặt rạp chiếu phim ở những trung tâm thương mại sang trọng nhưng thực tế không phải vậy. CGV Pandora nằm trên tầng 4 của trung tâm mua sắm Pandora, nơi Big C tọa lạc ở tầng 3. nếu bạn muốn thưởng thức phim nhưng không muốn trả …",4,CGV Pandora City,1,cgv rạp chiếu phim trung tâm thương mại trọng thực tế cgv pandora nằm tầng 4 trung tâm mua sắm pandora big c tọa lạc tầng 3 thưởng thức phim,"['cgv', 'rạp', 'chiếu_phim', 'trung_tâm', 'thương_mại', 'trọng', 'thực_tế', 'cgv', 'pandora', 'nằm', 'tầng', '4', 'trung_tâm', 'mua_sắm', 'pandora', 'big', 'c', 'tọa_lạc', 'tầng', '3', 'thưởng_thức', 'phim']"
Thao Janey,3 năm trước,"Nhiều phòng, dễ đi nhầm, nhân viên có hướng dẫn
Nhân viên ở quầy in vé cho khách mua vé online thái độ chưa tốt",4,CGV Pearl Plaza,1,phòng đi nhầm nhân viên hướng nhân viên quầy in vé mua vé online thái độ,"['phòng', 'đi', 'nhầm', 'nhân_viên', 'hướng', 'nhân_viên', 'quầy', 'in', 'vé', 'mua', 'vé', 'online', 'thái_độ']"
William L NG,10 tháng trước,"Tuyệt vời, hoặc tốt nhất về công nghệ Rạp chiếu phim cũng như đầu tư.. nhưng tòa nhà và trung tâm mua sắm Land mark 81 thì tự nó....thậm chí không đạt tiêu chuẩn ..3 sao",4,CGV Vincom Center Landmark,1,tuyệt vời công nghệ rạp chiếu phim đầu tư tòa trung tâm mua sắm land mark 81 chí tiêu chuẩn 3,"['tuyệt_vời', 'công_nghệ', 'rạp', 'chiếu_phim', 'đầu_tư', 'tòa', 'trung_tâm', 'mua_sắm', 'land', 'mark', '81', 'chí', 'tiêu_chuẩn', '3']"
Henry Trần,một năm trước,"Mình cũng không hiểu tại sao CGV ở đây lại có vẻ vắng khách nữa , theo mình dịch vụ ở đây cũng ok , trải nghiệm dịch vụ cũng giống những nơi khác 1 phần siêu thị ở đây khá vắng nên ko hấp dẫn bằng mấy CGV ở trung tâm lớn khác …",4,CGV Pandora City,1,cgv vẻ vắng dịch vụ ok trải nghiệm dịch vụ 1 siêu thị vắng ko hấp mấy cgv trung tâm,"['cgv_vẻ', 'vắng', 'dịch_vụ', 'ok', 'trải', 'nghiệm', 'dịch_vụ', '1', 'siêu_thị', 'vắng', 'ko', 'hấp', 'mấy', 'cgv', 'trung_tâm']"
Nguyen Van Hau,5 tháng trước,"Một cụm rạp mang mẫu chung của hệ thống cgv, nhân viên nhanh nhẹn làm việc tốt, ghế thì cũng cũ đen đen bửn bửn rồi, nên có kế hoạch thay",4,CGV Saigonres Nguyễn Xí,1,cụm rạp mẫu hệ thống cgv nhân viên nhẹn ghế cũ đen đen bửn bửn kế hoạch thay,"['cụm', 'rạp', 'mẫu_hệ_thống', 'cgv', 'nhân_viên', 'nhẹn', 'ghế', 'cũ', 'đen', 'đen', 'bửn', 'bửn', 'kế_hoạch', 'thay']"
Loc Nguyen,7 tháng trước,"Rạp dường như không được dọn dẹp vệ sinh giữa các suất chiếu. Bắp rơi rớt dưới sàn nhiều, đi dính giày rất khó chịu.",4,CGV Sư Vạn Hạnh,1,rạp dường dọn dẹp vệ sinh suất chiếu bắp rơi rớt sàn đi dính giày,"['rạp', 'dường', 'dọn_dẹp', 'vệ_sinh', 'suất', 'chiếu', 'bắp', 'rơi_rớt', 'sàn', 'đi', 'dính', 'giày']"
Anh Phan,6 năm trước,Rạp hơi nhỏ - món khoai tây rất ngon - bắp mặn thì siêu mặn luôn - bên ngoài có chổ gửi xe cgv nhưng đc ít xe lắm ấy,4,CGV CT,1,rạp hơi món khoai tây ngon bắp mặn siêu mặn chổ gửi xe cgv đc xe lắm,"['rạp', 'hơi', 'món', 'khoai_tây', 'ngon', 'bắp', 'mặn', 'siêu', 'mặn', 'chổ', 'gửi', 'xe', 'cgv', 'đc', 'xe', 'lắm']"
Minh Nguyễn,5 năm trước,"Là địa điểm yêu thích của tôi khi không biết đi đâu.
Đồ ăn giá cả ổn, hợp lý và đa dạng.
Vật dụng có lẽ mắc hơn so với bên ngoài nhưng được giữ xe FREE.
Quần áo đồ thời trang thì trong đây quá trời, khỏi chê vào đâu được.",4,CGV AEON Bình Tân,1,địa yêu đi đồ giá ổn hợp lý đa dạng vật dụng lẽ mắc xe free quần áo đồ thời trang trời chê,"['địa', 'yêu', 'đi', 'đồ', 'giá', 'ổn', 'hợp_lý', 'đa_dạng', 'vật_dụng', 'lẽ', 'mắc', 'xe', 'free', 'quần_áo', 'đồ', 'thời_trang', 'trời', 'chê']"
John Pham,7 năm trước,"Rạp khá là rộng, thoải mái. Phòng xem phim cũng mát lạnh, tiện nghi. Tiếc là giá vé hơi chát nhưng mà tiền nào của nấy!",4,CGV CT,1,rạp rộng thoải mái phòng phim mát lạnh tiện nghi tiếc giá vé hơi chát tiền,"['rạp', 'rộng', 'thoải_mái', 'phòng', 'phim', 'mát', 'lạnh', 'tiện_nghi', 'tiếc', 'giá', 'vé', 'hơi', 'chát', 'tiền']"
THANH DUY,một năm trước,"Phòng chiếu có trang thiết bị hiện đại, khu mua vé và đồ ăn thức uống được bố trí hợp lý, nhân viên nhiệt tình, chu đáo",4,CGV Hoàng Văn Thụ,1,phòng chiếu trang thiết hiện đại khu mua vé đồ thức uống bố trí hợp lý nhân viên nhiệt tình chu đáo,"['phòng', 'chiếu', 'trang_thiết', 'hiện_đại', 'khu', 'mua', 'vé', 'đồ', 'thức', 'uống', 'bố_trí', 'hợp_lý', 'nhân_viên', 'nhiệt_tình', 'chu_đáo']"
Toon Tran,9 tháng trước,"Oh boy, oh boy! CGV Vincom Thủ Đức, tầng 5, chính là ""Disneyland"" của các tín đồ điện ảnh! Đừng để cái tên ""CGV"" quen thuộc lừa bạn; nơi này có một quy mô ""khủng"" với nhiều rạp Starium, nơi bạn có thể thoải mái ""trải nghiệm"" phim mà không …",4,CGV Vincom Thủ Đức,1,"oh boy oh boy cgv vincom thủ đức tầng 5 ""disneyland"" tín đồ điện ảnh đừng ""cgv"" quen lừa quy mô ""khủng"" rạp starium thể thoải mái ""trải nghiệm"" phim","['oh', 'boy', 'oh', 'boy', 'cgv', 'vincom', 'thủ', 'đức', 'tầng', '5', '""', 'disneyland', '""', 'tín_đồ', 'điện_ảnh', 'đừng', '""', 'cgv', '""', 'quen', 'lừa', 'quy_mô', '""', 'khủng', '""', 'rạp', 'starium', 'thể', 'thoải_mái', '""', 'trải', 'nghiệm', '""', 'phim']"
Phuong Phan,4 năm trước,"Rạp rộng rãi, có phòng chờ khá đẹp, vô tha hồi sefie, ngoài ra còn có khu hành lang sâu hun hút, đèn mờ mờ rất ma mị😁 …",4,CGV Hoàng Văn Thụ,1,rạp rộng rãi phòng chờ đẹp vô tha hồi sefie khu hành lang sâu hun hút đèn mờ mờ ma mị,"['rạp', 'rộng_rãi', 'phòng', 'chờ', 'đẹp', 'vô', 'tha', 'hồi', 'sefie', 'khu', 'hành_lang', 'sâu', 'hun_hút', 'đèn', 'mờ', 'mờ', 'ma_mị']"
Caster Five,7 năm trước,Cụm rạp đẹp và mới. Đa dạng nhiều tiêu chuẩn rạp khác nhau. Giá như trần rạp cao hơn 1 chút nữa thì tuyệt vời. Các bạn nhân viên thân thiện nhưng do mới nên nghiệp vụ chưa vững.,4,CGV Hoàng Văn Thụ,1,cụm rạp đẹp đa dạng tiêu chuẩn rạp giá trần rạp 1 chút tuyệt vời nhân viên thân thiện nghiệp vụ vững,"['cụm', 'rạp', 'đẹp', 'đa_dạng', 'tiêu_chuẩn', 'rạp', 'giá_trần', 'rạp', '1', 'chút', 'tuyệt_vời', 'nhân_viên', 'thân_thiện', 'nghiệp_vụ', 'vững']"
Quỳnh Như Lưu,9 tháng trước,"Mall có đủ mọi dịch vụ bạn cần để giải trí cho cả gđ.Ko gian sạch sẽ,hiện đại ,nv thân thiện....Điểm trừ là thang máy đợi lâu và nhà vs ko có vòi xịt hoặc ko gian vs cho bé nhỏ.",4,CGV Giga Mall Thủ Đức,1,mall dịch vụ giải trí gđ ko gian sạch hiện đại nv thân thiện trừ thang máy đợi vs ko vòi xịt ko gian vs bé,"['mall', 'dịch_vụ', 'giải_trí', 'gđ', 'ko', 'gian', 'sạch', 'hiện_đại', 'nv', 'thân_thiện', 'trừ', 'thang_máy', 'đợi', 'vs', 'ko', 'vòi', 'xịt', 'ko', 'gian', 'vs', 'bé']"
Hendroff Scott,6 tháng trước,"Hạng vàng thấp hơn mong đợi so với những gì các rạp chiếu phim địa phương của tôi cung cấp ở đất nước tôi, nhưng các nhân viên thực sự hữu ích và thân thiện, đáng để ghé thăm! …",4,CGV Vincom Đồng Khởi,1,hạng vàng mong đợi rạp chiếu phim địa phương cung đất nhân viên thực hữu ích thân thiện ghé thăm,"['hạng', 'vàng', 'mong_đợi', 'rạp', 'chiếu_phim', 'địa_phương', 'cung', 'đất', 'nhân_viên', 'thực', 'hữu_ích', 'thân_thiện', 'ghé', 'thăm']"
Quach Dao Quang,9 năm trước,"Rạp đẹp, hiện đại, nhưng hơi nhỏ. Ưu điểm là có chỗ để xe và hiện tại thì lượng khách không quá đông nên đi xem với người yêu sẽ rất thích :D",4,CGV Liberty Citypoint,1,rạp đẹp hiện đại hơi ưu chỗ xe hiện đông đi yêu d,"['rạp', 'đẹp', 'hiện_đại', 'hơi', 'ưu', 'chỗ', 'xe', 'hiện', 'đông', 'đi', 'yêu', 'd']"
Nee Nam,2 năm trước,"Rạp phim thì tương đối ngon, có cái thang cuốn đi thẳng từ tầng trệt lên rạp dốc thẳng ghê quá, ai yếu yếu hoặc sợ độ cao chắc sợ lắm.
Cách bố trí thang cuốn hơi khó tìm, vd như bên Aeon thì đầu này là thang cuốn …",4,CGV Pandora City,1,rạp phim tương đối ngon thang đi thẳng tầng rạp dốc thẳng ghê yếu yếu sợ độ sợ lắm bố trí thang hơi vd aeon đầu thang,"['rạp', 'phim', 'tương_đối', 'ngon', 'thang', 'đi', 'thẳng', 'tầng', 'rạp', 'dốc', 'thẳng', 'ghê', 'yếu', 'yếu', 'sợ', 'độ', 'sợ', 'lắm', 'bố_trí', 'thang', 'hơi', 'vd', 'aeon', 'đầu', 'thang']"
hoanganh nguyen,4 năm trước,"Không gian sảnh chờ CGV rộng rãi , thoáng đãng . Nhân viên phục vụ tận tình , và rất niềm nở . tuy nhiên vẫn có cảm giác trống nhiều , có thể để thêm ghế chờ hoặc trang trí để không gian có nhiều điểm nhấn hơn",4,CGV Pearl Plaza,1,gian sảnh chờ cgv rộng rãi thoáng đãng nhân viên phục vụ tận tình niềm nở nhiên cảm giác trống thể ghế chờ trang trí gian nhấn,"['gian', 'sảnh', 'chờ', 'cgv', 'rộng_rãi', 'thoáng_đãng', 'nhân_viên', 'phục_vụ', 'tận_tình', 'niềm_nở', 'nhiên', 'cảm_giác', 'trống', 'thể', 'ghế', 'chờ', 'trang_trí', 'gian', 'nhấn']"
Võ Ngọc,6 năm trước,"Dịch vụ tốt trên rạp CGV. Tuy nhiên, bãi đậu xe miễn phí luôn chật kín và tôi phải đỗ xe ở tầng hầm của tòa nhà. Nó không miễn phí như CGV nói.",4,CGV CT,1,dịch vụ rạp cgv nhiên bãi đậu xe miễn phí chật kín đỗ xe tầng hầm tòa miễn phí cgv,"['dịch_vụ', 'rạp', 'cgv', 'nhiên', 'bãi', 'đậu', 'xe', 'miễn_phí', 'chật', 'kín', 'đỗ', 'xe', 'tầng', 'hầm', 'tòa', 'miễn_phí', 'cgv']"
Phúc Đặng,2 năm trước,"Cũ nhất trong tất cả các rạp của CGV do chuyển nhượng từ thời Megastar. Còn lại thì dịch vụ ok.
Đi thang máy dễ bị lộn qua mấy tầng vắng hoe.",4,CGV CT,1,cũ tất rạp cgv nhượng thời megastar dịch vụ ok đi thang máy lộn mấy tầng vắng hoe,"['cũ', 'tất', 'rạp', 'cgv', 'nhượng', 'thời', 'megastar', 'dịch_vụ', 'ok', 'đi', 'thang_máy', 'lộn', 'mấy', 'tầng', 'vắng_hoe']"
Hưng Huỳnh,3 tháng trước,"Tất cả đều tốt.....
Trừ bãi gửi xe oto..... Lên đậu xe chóng mặt muốn xỉu.....đi xuống muốn rối loạn tiền đình luôn......",4,CGV Sư Vạn Hạnh,1,tất trừ bãi gửi xe oto đậu xe chóng mặt xỉu đi rối loạn tiền đình,"['tất_trừ', 'bãi', 'gửi', 'xe', 'oto', 'đậu', 'xe', 'chóng_mặt', 'xỉu', 'đi', 'rối_loạn', 'tiền_đình']"
Bùi Nhật Anh (Nhatanh0475),5 năm trước,"Mình có lời khuyên cho các bạn, khi các bạn đi xem phim tại tất cả các cụm rạp CGV thì mình khuyên các bạn nên đi vào thứ 2 khi mà giá giảm gần như gấp đôi so với các ngày thường. Rạp CGV Gò Vấp rất hiện đại khi có cả các phòng chiếu 3D và …",4,CGV Vincom Gò vấp,1,khuyên đi phim tất cụm rạp cgv khuyên đi 2 giá gấp đôi rạp cgv gò vấp hiện đại phòng chiếu 3d,"['khuyên', 'đi', 'phim', 'tất', 'cụm', 'rạp', 'cgv', 'khuyên', 'đi', '2', 'giá', 'gấp', 'đôi', 'rạp', 'cgv', 'gò', 'vấp', 'hiện_đại', 'phòng', 'chiếu', '3d']"
nguyenphan long,4 năm trước,"Bảo vệ không làm đúng trách nhiệm với khách, có vẻ không vui khi hướng dẫn khách hàng.Đây là điểm trừ mà nhiều trung tâm thương mại gặp phải.",4,CGV Pearl Plaza,1,bảo vệ trách nhiệm vẻ vui hướng hàng trừ trung tâm thương mại,"['bảo_vệ', 'trách_nhiệm_vẻ', 'vui', 'hướng', 'hàng', 'trừ', 'trung_tâm', 'thương_mại']"
Long Luu Minh,7 năm trước,"Nằm trên tầng 5 với bãi đỗ xe miễn phí tại B1 tại Vincom Plaza, rạp chiếu phim tuyệt vời này có âm thanh tuyệt vời & độ phân giải toàn màn hình mà mọi người nên trải nghiệm một lần!",4,CGV Vincom Gò vấp,1,nằm tầng 5 bãi đỗ xe miễn phí b1 vincom plaza rạp chiếu phim tuyệt vời âm tuyệt vời & độ phân giải toàn màn hình trải nghiệm,"['nằm', 'tầng', '5', 'bãi', 'đỗ', 'xe', 'miễn_phí', 'b1', 'vincom', 'plaza', 'rạp', 'chiếu_phim', 'tuyệt_vời', 'âm', 'tuyệt_vời', '&', 'độ', 'phân_giải', 'toàn', 'màn_hình', 'trải', 'nghiệm']"
Quỳnh Lê,4 năm trước,"Rạp mới nên ghế sạch sẽ, rạp vắng khách. Nhiều góc sống ảo.
Điểm trừ gửi xe 10k, trần hầm gửi xe thấp, không có bảng chỉ dẫn ra vào. Khúc xuống hầm cua gấp, vừa hết dốc là chỗ lấy thẻ gửi xe; cực kì nguy hiểm.",4,CGV Lý Chính Thắng,1,rạp ghế sạch rạp vắng góc sống ảo trừ gửi xe 10k trần hầm gửi xe bảng khúc hầm cua gấp dốc chỗ thẻ gửi xe cực kì nguy hiểm,"['rạp', 'ghế', 'sạch', 'rạp', 'vắng', 'góc', 'sống', 'ảo', 'trừ', 'gửi', 'xe', '10k', 'trần', 'hầm', 'gửi', 'xe', 'bảng', 'khúc', 'hầm', 'cua', 'gấp', 'dốc', 'chỗ', 'thẻ', 'gửi', 'xe', 'cực_kì', 'nguy_hiểm']"
Trương Ngọc Nam,5 năm trước,"Vincom Đồng Khởi được xem là một khu trung tâm mua sắm sầm uất nhất tại Sài Gòn bởi nơi đây tọa lạc ngay tại một vị trí cực kì đắc địa, chỉ mất khoảng 2-3 phút đi bộ là bạn đã có thể đến phố đi bộ Nguyễn Huệ rồi. …",4,CGV Vincom Đồng Khởi,1,vincom đồng khởi khu trung tâm mua sắm sầm uất sài gòn tọa lạc vị trí cực kì đắc địa 2 3 phút đi thể phố đi nguyễn huệ,"['vincom', 'đồng_khởi', 'khu', 'trung_tâm', 'mua_sắm', 'sầm_uất', 'sài_gòn', 'tọa_lạc', 'vị_trí', 'cực_kì', 'đắc_địa', '2', '3', 'phút', 'đi', 'thể', 'phố', 'đi', 'nguyễn', 'huệ']"
JASON GARBUTT,6 năm trước,"Lần đầu tiên đến xem phim Việt. Rạp chiếu phim rất hiện đại và được bảo trì tốt. Rất nhiều nơi để ăn gần đó, giá tốt cho bộ phim. Chỗ ngồi rất thoải mái, chưa thử chỗ ngồi ngọt ngào vì trông rất đẹp cho các cặp đôi",4,CGV Pearl Plaza,1,đầu tiên phim việt rạp chiếu phim hiện đại bảo trì giá phim chỗ thoải mái thử chỗ ngào trông đẹp cặp đôi,"['đầu_tiên', 'phim', 'việt', 'rạp', 'chiếu_phim', 'hiện_đại', 'bảo_trì', 'giá', 'phim', 'chỗ', 'thoải_mái', 'thử', 'chỗ', 'ngào', 'trông', 'đẹp', 'cặp', 'đôi']"
3760-TrịnhVănHải (su đen),5 năm trước,"Vé sẽ tăng vào lễ cuối tuần, vì vậy mọi người sắp xếp công việc để xem những thước phim hay mà vs giá hợp tui tiền, tuy năm vị thí đông người qua lại vừa tiện cho việc kinh doanh, nhưng sẽ hơi bụi bặm và chen lấn kẹt xe anh ninh không cao …",4,CGV Pearl Plaza,1,vé lễ tuần xếp công thước phim vs giá hợp tui tiền vị thí đông tiện kinh doanh hơi bụi bặm chen lấn kẹt xe ninh,"['vé', 'lễ', 'tuần', 'xếp', 'công', 'thước', 'phim', 'vs', 'giá', 'hợp', 'tui', 'tiền', 'vị_thí', 'đông', 'tiện', 'kinh_doanh', 'hơi', 'bụi_bặm', 'chen_lấn', 'kẹt', 'xe_ninh']"
Minh Triet Le,5 năm trước,"Lần đầu tiên vào trung tâm mua sắm lớn như vậy. Nằm ở tầng 6, rạp cũng giống như các CGV khác, chỉ khác là bạn phải quay lại sau khi mua vé và đồ ăn vì rạp nằm ngay bên phải cổng vào",4,CGV Giga Mall Thủ Đức,1,đầu tiên trung tâm mua sắm nằm tầng 6 rạp cgv mua vé đồ rạp nằm cổng,"['đầu_tiên', 'trung_tâm', 'mua_sắm', 'nằm', 'tầng', '6', 'rạp', 'cgv', 'mua', 'vé', 'đồ', 'rạp', 'nằm', 'cổng']"
Ak,2 năm trước,"Rạp chiếu phim nằm ở tầng trên cùng của một trung tâm mua sắm. Nó không lớn như nhiều cái khác ở thành phố này, nhưng nó đủ thoải mái và tốt.",4,CGV Vincom Gò vấp,1,rạp chiếu phim nằm tầng trung tâm mua sắm thành phố thoải mái,"['rạp', 'chiếu_phim', 'nằm', 'tầng', 'trung_tâm', 'mua_sắm', 'thành_phố', 'thoải_mái']"
Hải Lê Trường,7 năm trước,Rạp phim ở đây hơi nhỏ. Nhân viên thân thiện. Nhà vệ sinh sạch sẽ. Sảnh chờ rộng rãi thoải mái. Lối đi lên rạp hơi bất tiện xíu. Giữ xe tốn phí.,4,CGV Thảo Điền,1,rạp phim hơi nhân viên thân thiện vệ sinh sạch sảnh chờ rộng rãi thoải mái lối đi rạp hơi bất tiện xíu xe tốn phí,"['rạp', 'phim', 'hơi', 'nhân_viên', 'thân_thiện', 'vệ_sinh', 'sạch', 'sảnh', 'chờ', 'rộng_rãi', 'thoải_mái', 'lối', 'đi', 'rạp', 'hơi', 'bất_tiện', 'xíu', 'xe', 'tốn', 'phí']"
An Trân,10 tháng trước,"Siêu thị rộng rãi, rộng rãi, bán nhiều đồ ăn tươi ngon, giá cả hợp lý.  Tuy nhiên đồ ăn nhanh ở đây hơi tệ.  Tốt nhất là ra ngoài ăn ở nhà hàng.",4,CGV AEON Bình Tân,1,siêu thị rộng rãi rộng rãi đồ tươi ngon giá hợp lý nhiên đồ hơi tệ hàng,"['siêu_thị', 'rộng_rãi', 'rộng_rãi', 'đồ', 'tươi', 'ngon', 'giá', 'hợp_lý', 'nhiên', 'đồ', 'hơi', 'tệ', 'hàng']"
Ken H,6 tháng trước,Có phòng chiếu phim với màn hình rất rộng và ấn tượng. Bạn sẽ có thể thưởng thức bộ phim một cách tuyệt vời. Màn hình lớn đến mức có thể khiến bạn mỏi mắt nếu ngồi ở ghế trước.,4,CGV Hoàng Văn Thụ,1,phòng chiếu phim màn hình rộng ấn tượng thể thưởng thức phim tuyệt vời màn hình thể mỏi mắt ghế,"['phòng', 'chiếu_phim', 'màn_hình', 'rộng', 'ấn_tượng', 'thể', 'thưởng_thức', 'phim', 'tuyệt_vời', 'màn_hình_thể', 'mỏi_mắt', 'ghế']"
Huy Dinh,5 năm trước,Nơi này đang được cải tạo. Chỉ có tầng 5 và 10 là có thể sử dụng được. Một số cửa hàng có nhân viên. Phải chờ dịch vụ.,4,CGV CT,1,cải tầng 5 10 thể sử dụng cửa hàng nhân viên chờ dịch vụ,"['cải', 'tầng', '5', '10', 'thể', 'sử_dụng', 'cửa_hàng', 'nhân_viên', 'chờ', 'dịch_vụ']"
0154_Mary Nah,2 năm trước,"Rộng, chiều tối khá đông, có khu vui chơi và mua sắm. View cũng bình thường, bãi xe khá lớn và hơi dốc xíu, nói chung mọi người thích nơi náo nhiệt và ăn uống thì nên thử ghé qua",4,CGV Giga Mall Thủ Đức,1,rộng chiều tối đông khu vui mua sắm view bình bãi xe hơi dốc xíu náo nhiệt uống thử ghé,"['rộng', 'chiều_tối', 'đông', 'khu', 'vui', 'mua_sắm', 'view', 'bình', 'bãi', 'xe_hơi', 'dốc', 'xíu', 'náo_nhiệt', 'uống', 'thử', 'ghé']"
Gie,5 năm trước,"El cine es limbio, có phương thức, el atento cá nhân, no hay mucho que decir, todos los cines de CGV son muy buenos en cuando al servicio al cliente cuidan todos los khía cạnh para brindarte comodidad. Rạp sạch sẽ, tiện nghi, nhân viên chu …",4,CGV Celadon,1,el cine es limbio phương thức el atento cá nhân no mucho que decir todos los cines de cgv son muy buenos en cuando al servicio al cliente cuidan todos los khía cạnh para brindarte comodidad rạp sạch tiện nghi nhân viên chu,"['el', 'cine', 'es', 'limbio', 'phương_thức', 'el', 'atento', 'cá_nhân', 'no', 'mucho', 'que', 'decir', 'todos', 'los', 'cines', 'de', 'cgv', 'son', 'muy', 'buenos', 'en', 'cuando', 'al', 'servicio', 'al', 'cliente', 'cuidan', 'todos', 'los', 'khía_cạnh', 'para', 'brindarte', 'comodidad', 'rạp', 'sạch', 'tiện_nghi', 'nhân_viên', 'chu']"
