reviewer,time,context,ranking,Chi nhánh,Sentiment
Hoang Duy,6 năm trước,"Ở đây có 7 phòng chiếu tất cả, nằm trên tầng 3 của TTTM Aeon Bình Tân, tuy nhiên rạp chiếu cần khắc phục tình trạng nhiều khán giả thiếu ý thức nói chuyện ồn ào trong lúc chiếu, sủ dụng đt và đạp vào ghế phía trước. WC chưa thật sự sạch, …",4,CGV AEON Bình Tân,1
Jonas Nguyen,11 tháng trước,"Ngoài nhân viên phục vụ tại quầy bán vé ra thì mọi thứ khác đều tốt!

Mọi thứ đều tuyệt vời ngoại trừ nhân viên phục vụ tại phòng vé!",4,CGV Liberty Citypoint,1
Bao Dang,5 năm trước,"Mall ở đây cũng khá chán, vé ở đây cũng mắc hơn so vs mấy rạp ở chỗ khác. Nói chung ai ở quận 7 thì bình thường còn vs ai ở quận khác thì không khuyến khích lắm",4,CGV Vivo City,1
NuTaCo,8 năm trước,"Trung tâm mua sắm, vui chơi giải trí và ăn uống hiện đại. Có rất nhiều gian hàng, không gian rộng rãi.",4,CGV Vivo City,1
Hudson Cheng,10 tháng trước,"Đối với người dân địa phương, trung tâm mua sắm lớn nằm ở ""ngoài rìa"" này có vẻ còn rất xa so với ""nền văn minh"" (trung tâm Sài Gòn), tuy nhiên trải nghiệm mua sắm ngang bằng với Hồng Kông. …",4,CGV AEON Bình Tân,1
Tiểu Song,5 năm trước,"Theo riêng mình ý kiến về CGV Satra thì: Chất lượng hình ảnh ổn ! Phòng khá lạnh cho những bạn ít chịu được lạnh nè. Gế ngồi thoải mái , đặt biệt ở đây bắp ran bơ và coca khá là ngon tuyệt. Mình rất thích bắp ran ở đây !😆.. nhưng có 1 đìu …",4,CGV Satra Củ Chi,1
Nguyen Etric,5 năm trước,"Chổ ngồi chờ rất ít, mặc dù sảnh khá rộng, nhân viên thì nên chuyen nghiệp hơn,  niềm nở thêm,  còn về phần giữ xe thì nên free cho khách hàng đến xem flim, chứ giữ biên lai vé xem phim cho đã rồi chỉ giảm dc có 5k (phí giữ xe tính theo …",4,CGV Vincom Đồng Khởi,1
Helena Truong,một năm trước,"không gian rộng thoáng. Cinema là phòng nhỏ, ít ghế. Hôm nay đi xem suất chiếu đặc biệt của Conan, tranh thủ đi suất thứ 2 của ngày để lấy quà huy hiệu mà tới nơi nhân viên bảo chỉ có 50 huy hiệu được phát mỗi ngày nên là hết mất rồi. Hụt …",4,CGV Cresent Mall,1
Ending Sound,5 năm trước,"Rạp 2d rất tuyệt, phòng 1 màn dài âm thanh hay nhưng thái độ nhân viên rất kỳ cục phải gọi là tệ nhất trong mọi rạp cgv mình từng đến",4,CGV Saigonres Nguyễn Xí,0
Trung Khánh Ngô,7 năm trước,"Là trung tâm giải trí và mua sắm đẳng cấp. Nơi thích hợp để gia đình đến vui chơi, giải trí cuối tuần.",4,CGV Pandora City,1
Nhân Thành,5 năm trước,Dịch vụ của CGV nói chung là ở mức khá từ nhân viên đến không gian bên ngoài và cả bên trong rạp phim,4,CGV Pearl Plaza,1
Vương Hoàng,5 năm trước,"Nếu có bất kỳ bạn nào mê phim và ít bạn bè hay không có người yêu phải đi xem phim 1 mình như tôi thì tốt nhất đừng nên đến nơi đây, bạn sẽ trở thành thú quý hiếm với nhân viên bán vé. Tôi đi xem phim Shazam vào tối thứ sáu vì biết không …",4,CGV Pandora City,1
Hau Pham,5 năm trước,Rạp xem ổn. Nhân viên quầy bán đồ ăn dù đó khách ở đó. Nhưng vẫn tự nhiên chửi bậy. Nghe hơi khó chịu,4,CGV Liberty Citypoint,1
Choi Jace (Best Choice),6 năm trước,"Tôi thích chỗ ngồi yên tĩnh và rộng rãi. Thật tuyệt khi có vài chỗ ngồi.
Tuy nhiên, nếu muốn hẹn hò thì bạn phải tìm hiểu trước về đồ ăn trước khi hẹn hò...haha.",4,CGV Thảo Điền,1
Mong Ta,7 năm trước,Hãy cố gắng để có được những chiếc ghế hộp ngọt ngào hoặc những chiếc ghế hạng vàng chúng là tốt nhất,4,CGV Liberty Citypoint,1
Thích Đi Bụi,6 năm trước,Giá vé có vẻ đắt. Có điều cũng hơi buồn là xuất vé rồi lại không đổi đc :(( mình đi 2 người mua 2 vé thường sau đó muốn đổi qua ghế couple mà không đổi đc :(( nhưng màn hình cũng như hệ thống âm thanh thì tốt. So với Lotte Phú Thọ mình hay …,4,CGV Sư Vạn Hạnh,1
C.J. Gorrell,6 năm trước,"Tất cả các rạp CGV đều là những rạp tuyệt vời, tôi chỉ có điều họ có bắp rang thường ngon hơn.  Mặc dù vậy, tôi nghĩ hiện tại họ đã bắt đầu bán muối hương vị và đây là một bước đi đúng hướng.",4,CGV Hoàng Văn Thụ,1
Anh Do,một tuần trước,"Rạp nhỏ, tương đối ít suất chiếu và vằng vẻ; rạp này cũng lâu rồi nên phòng chiếu đa số là phòng nhỏ, ít ghế và cũng hơi có mùi ẩm một tẹo; được cái WC sạch sẽ. …",4,CGV Saigonres Nguyễn Xí,0
Hạnh VTM,8 tháng trước,"Rạp phim đa dạng phòng chiếu (có IMAX và 4DX) nhưng chểnh mảng bảo trì, điều hoà lạnh cóng, nhiều vị bắp rang bơ, mở bán nhiều loại merch. CGV Vivo City từng là một trong hai rạp IMAX duy nhất ở Tp. HCM. Tuy nay đã bị soán ngôi bởi các rạp …",4,CGV Vivo City,1
Giang Tố Loan,2 năm trước,"Xịn, ghế ngồi ổn, xém hết vé, mấy bạn pv dụ mua combo hồi rối não, được cái mùi bắp rang thơm mún xĩu",4,CGV Saigonres Nguyễn Xí,1
Sky,một năm trước,"Rạp chiếu phim lớn bên trong Vivo City. Nhược điểm duy nhất là nếu bạn xem phim muộn, bạn sẽ gặp khó khăn khi ra vào vì điểm vào/ra không được chỉ định rõ ràng. Khá khác biệt so với việc xem phim ở VivoCity của Singapore, lúc nửa đêm vẫn rất đông đúc.",4,CGV Vivo City,1
Toon Tran,7 tháng trước,"CGV Menas Mall Sân bay Sài Gòn nổi bật không chỉ là một trong những rạp chiếu phim lâu đời nhất trong mạng lưới CGV, trước đây gọi là Megastar, mà còn nổi bật bởi vị trí đắc địa ngay đối diện sân bay, ẩn mình trong khu trung tâm thương mại …",4,CGV CT,1
Luong Minh Phat,6 năm trước,"Đến đây để xem Thor trong rạp chiếu phim IMAX.
Chất lượng hệ thống âm thanh, 3D, máy chiếu rất hoàn hảo. Đó là trải nghiệm phim tuyệt vời nhất mà tôi từng có. …",4,CGV Vivo City,1
Nguyễn Duy Tín,5 năm trước,"Ổn, nhưng xung quanh hơi ít quán ăn nếu xem khuya. Nhân viên nên chủ động dặn các cháu bé giữ trật tự khi xem phim trước khi vào rạp.",4,CGV Thảo Điền,1
M Ng,2 năm trước,"Rạp chiếu phim đẹp, nhân viên rất hữu ích và thân thiện. Tuy nhiên, điểm kiểm tra vé thường xuyên bị bỏ lỡ (tôi đã giữ lại vé của mình để vào mà không ai để ý).",4,CGV Lý Chính Thắng,1
Jay T,một năm trước,Sạch sẽ và độc đáo với nhiều cửa hàng thương hiệu phương Tây.  Lựa chọn thực phẩm tốt trong khu ẩm thực của họ trải rộng trên 2 tầng.,4,CGV Sư Vạn Hạnh,1
Khoa Dang,6 năm trước,"Rạp phim khá rộng, hầu hết các phim hay đều có suất chiếu. Tuy nhiên chỉ có 2 thang máy lên xuống, nếu coi phim khuya thì lúc về phải chờ hơi lâu để xuống lấy xe",4,CGV Vincom Gò vấp,1
Hoàng Minh Dũng Nguyễn,5 năm trước,"Rạp thuộc khu trung tâm quận 1 nên kiểu phải sang trọng
Không gian bên trong rạp chiếu tạo cảm giác ấm cúng
Tuy nhiên điểm trừ là phí giữ xe khá mắc - nhất là khi bạn coi phim suất đêm sau 10h",4,CGV Liberty Citypoint,1
Juyeong Lee,6 năm trước,"Đẹp! Mọi thứ đều ổn. Xung quanh quầy bán vé hơi nóng nhưng khi vào trong, bạn có thể tận hưởng điều hòa.
Tuy nhiên có vẻ như họ không quan tâm đến tấm trải ghế.",4,CGV Vincom Thủ Đức,1
chien tran,8 năm trước,"trên sân thượng có khu vui chơi nước cho trẻ em rất thích, tuy nhiên kế bên lại là quá bar nên có rất nhiều người ún bia va hút thuốc  làm ảnh hưởng đến các em.",4,CGV Vivo City,1
Long Nguyen,4 tháng trước,Rạp phim bên ngoài đẹp rộng rãi nhưng trong phòng xem fim thì hôi dã man hôi giống mùi giầy ướt. Làm không tập trung xem fim đc . Bù lại màn hình và âm thanh oki phết. Gửi xe 7k cho xe máy nhé.,4,CGV Hoàng Văn Thụ,0
Vy Huynh,6 năm trước,"Một rạp chiếu phim đẹp và rộng rãi bên trong Pearl Plaza. Dịch vụ tốt xung quanh. Tuy nhiên, hãy cẩn thận với mức giá cao truyền thống của rạp chiếu phim CGV.",4,CGV Pearl Plaza,1
Matthew Seal,9 năm trước,Đi đến CGV này là một trải nghiệm dễ dàng và thú vị. Sảnh sạch sẽ và nhân viên hữu ích trong việc mua vé/chọn chỗ ngồi. Thật tuyệt khi bạn có thể chọn chỗ ngồi khi mua vé...Không cần phải lo lắng về việc đến sớm để có được chỗ ngồi mong …,4,CGV Thảo Điền,1
Lương Toàn Nguyễn,7 năm trước,Nơi này thật tuyệt. Dịch vụ tốt. Nhưng không có hoạt động giải trí/ăn uống nào khác trong cùng tòa nhà.,4,CGV Hoàng Văn Thụ,1
Trang Kiều,10 tháng trước,Không gian hơi hẹp so với các cgv khác nên phải di chuyển cầu thang nhiều một chút. Còn lại thì đều ok.,4,CGV Saigonres Nguyễn Xí,1
Tuấn Khang Quách,5 năm trước,Mọi thứ đều ok. Chỉ có thang máy khi đi xuống dễ bị nhầm (có thang máy không xuống được tầng b2). Và phí giữ xe 6k (dù bảng để 5k).,4,CGV CT,1
Le Dang Quang (Leo),4 năm trước,"Rạp ổn, tuy nhiên mỗi lần di chuyển từ bãi xe lên hơi xa, có 1 cách khác là chờ thang máy từ dưới tầng trệt lên thì khá lâu và chật",4,CGV Celadon,1
Ben Herman,6 năm trước,Chúng tôi đã xem Thor ba d ở đây - rạp chiếu phim tử tế. Nơi đẹp và sạch sẽ để xem một chương trình. Đắt hơn một số chỗ khác một chút nhưng ghế ngồi thoải mái,4,CGV Hoàng Văn Thụ,1
Thành Phúc Nguyễn,5 năm trước,CGV thường xuyên đi nhất vì tương đối vắng hơn các chi nhánh khác trong trung tâm. Mình không thích xem phim quá đông người. Phòng chiếu tương đối nhỏ. Chỉ khoảng 1/3 so với CGV sư vạn hạnh. Nhân viên phục vụ cũng rất dễ thương và nhiệt …,4,CGV CT,1
HoangDung Tran,6 năm trước,"Nơi tuyệt vời để mua sắm. Chúng tôi luôn có dimsum ở đây. Ngon. Tầng trệt có hải sản tươi sống. Tầng trên có quần áo, hơi đắt tiền.",4,CGV Celadon,1
Loïc Saint-Marc,một năm trước,"Rạp chiếu phim nhỏ hay, giá vé tùy theo địa điểm chọn, phim gần đây có phụ đề tiếng Anh hoặc tiếng Việt",4,CGV Celadon,1
Jason Garbutt,11 tháng trước,Thật vui khi thấy CGV vẫn trung thành với Pearl Plaza. Một chuyến đi xem phim gần đây có giá rẻ bất ngờ với chương trình khuyến mãi Momo dành cho hai ghế VIP với giá chưa đến một nửa chi phí. …,4,CGV Pearl Plaza,1
Thanh Nguyễn,5 năm trước,"Dịch vụ tốt. Nhưng khi mình đã mua vé online rồi, nhưng vẫn phải tới quầy quét mã lấy vé. CGV nên bỏ qua bước này để vào thẳng Rạp thì tốt hơn, tiết kiệm giấy, nhường chỗ cho bạn khác mua vé",4,CGV Vincom Center Landmark,1
Sky,8 tháng trước,Rạp chiếu phim đàng hoàng để xem phim. Có một khu trò chơi điện tử ngay bên ngoài để bạn dành thời gian trong khi chờ phim bắt đầu.,4,CGV Vincom Thủ Đức,1
Linh Phạm,6 năm trước,"Rạp ở tầng 10 của tòa nhà Parkson. Dịch vụ ở đây cũng khá tốt như những rạp khác, nhân viên thân thiện, có máy lấy vé tự động, bãi giữ xe tương đối rộng, phí giữ xe số hiện tại là 6.000. Chỉ có một điểm chưa hài lòng là chỉ có 1 lối lên …",4,CGV CT,1
Phi Khuong Tran,2 năm trước,"Một trong những cụm rạp hiện đại đầu tiên tại Việt Nam. Nằm trong TTTM sầm uất gần trường ĐH Kinh Tế và khu dân cư Chợ Lớn. Thuận tiện vui chơi, mua sắm, ăn uống rồi xem phim. Cụm rạp lâu năm đã biến đổi nhiều theo năm tháng.  Nhiều rạp …",4,CGV Hùng Vương Plaza,1
Hanh Phạm Hoàng,3 năm trước,"Đợt vào đây cũng gần 1 tháng trước, nhân viên nhanh nhẹn, nhiệt tình, đảm bảo khẩu ttang, cách li, khử khuẩn... 5k theo đúng tiêu chuẩn. Nhưng chỉ mất 1 điểm là do nhiều người vào xem phim vẫn cần được nhắc nhở về quy định bên trong rạp khi xem phim.",4,CGV Saigonres Nguyễn Xí,1
Percy Tran,4 ngày trước,Mọi thứ đều tốt. Lý do 4 sao thì lại liên quan đến giá cả. Giá thì cao hơn sù đồng ý cơ sở vất chất tốt thì giá cao nhưng so ra cao.,4,CGV AEON Bình Tân,1
Kiếm Nguyễn Hoàng,4 năm trước,"Ghé Thảo Điền mua nội thất sẵn rạp chiếu phim CGV bên cạnh nên thôi 1 công đôi việc đi xem phim luôn. Cụm rạp này nằm tại tầng 2, Thảo Điền Mall, 12 Quốc Hương,  với tổng cộng 6 phòng chiếu trung bình 100 ghế mỗi phòng. Không gian sảnh khá …",4,CGV Thảo Điền,1
Le Khanh Linh,một năm trước,"Nằm ở lầu 3, cạnh Gym California và khu chơi Game điện tử của con nít.

Không gian thì ok - đúng style của CVG.
Phim mới và đa dạng.",4,CGV Celadon,1
Lan Phương Đỗ,6 năm trước,CGV nào cũng vậy. Sạch đẹp. Tuy nhiên view chi nhánh nào cũng giống nhau. Thật khó để chụp hình lần 2.,4,CGV Liberty Citypoint,1
Shyn Ebol-Cooper,6 năm trước,Rạp chiếu phim ổn. Một số nhân viên có thể nói được tiếng Anh. Giá cả phải chăng. Rất nhiều thời gian chiếu cho các bộ phim gần đây.,4,CGV Pandora City,1
Tường Trần Mạnh,4 năm trước,"Landmark 81 là tòa nhà cao nhất của Việt Nam, Đây là trung tâm mua sắm lớn và nhiều hoạt động giải trí.",4,CGV Vincom Center Landmark,1
Minh Trường,5 năm trước,rạp thiết kế lịch sự và trang nhã . Không quá to nhưng cũng khá yên tĩnh . Nói chung mình cảm thấy kas thỏa mái khi xem phim ở đây .,4,CGV Liberty Citypoint,1
giang lê BT,5 năm trước,"Ở đây rất nhiều món ăn và bán nhiều loại các mặt hàng trong và ngoài nước khác nhau,đặ. Biệt ở đây khá rộng trải,có tiền thì ở cả ngày",4,CGV CT,1
Hoàng - Học trò Phạm Thành Long Vũ,2 năm trước,Là cụm rạp Cgv nổi tiếng nhưng chưa cập nhật công nghệ chiếu mới. . Máy lạnh khá yếu. Hài lòng nhân viên phục vụ và vệ sinh sạch sẽ.,4,CGV CT,1
Brian To,5 năm trước,"Bản thân rạp chiếu phim nhỏ hơn hầu hết các rạp khác, nhưng việc lựa chọn phim và địa điểm thì tốt. Bạn nên ăn một miếng ở tầng dưới tại một trong những nhà hàng (gần như họ có rất nhiều quầy hàng thực phẩm ở mỗi tầng) và đi lên cầu thang …",4,CGV Vincom Đồng Khởi,1
DEUK YOUNG CHOI,2 năm trước,Số lượng khách hàng đang tăng dần sau đợt giãn cách xã hội. Vì là dịp Tết Nguyên đán nên có rất nhiều thanh niên nam nữ đến tham quan.,4,CGV Vincom Đồng Khởi,1
Hong Hanh Pham,6 năm trước,"Dịch vụ tốt. Sự lựa chọn của các bộ phim được thỏa mãn. Tuy nhiên, nên có nhiều ghế hơn cho khách hàng.",4,CGV Vincom Gò vấp,1
Khanh Trần,5 năm trước,"Hướng dẫn vào rạp. Vào cổng CT Plaza quẹo qua cánh phải gửi xe cặp theo cái hẻm. Ra lại cổng vòng qua cánh trái tuốt bên góc sẽ có thang máy, khá khuất, nên hỏi nếu ko tìm ra. Tầng mấy quên rồi nhưng khá cao. Xem phim giữ lại cùi để lát …",4,CGV CT,1
Fabian Göttle,một năm trước,"Rạp chiếu phim nhỏ hơn nhưng có kỹ thuật trình chiếu và âm thanh tuyệt vời.

Sẽ đến đây một lần nữa và ưu tiên nơi này hơn các rạp chiếu phim có màn hình lớn …",4,CGV Vincom Đồng Khởi,1
Manh Ziu,một năm trước,"Rạp nằm trong khách sạn, rất sạch sẽ và đẹp. Sảnh rạp rộng. Nv nhanh nhẹn, tuy nhiên ko đc nhiệt tình, mình tới lấy vé thì nv cứ gạ mua combo nước, nếu ko mua thì mặt mũi tỏ thái độ luôn.. …",4,CGV Lý Chính Thắng,1
Hoang Nguyen,2 năm trước,Không gian rộng rãi và có chỗ ngồi chờ. Chỗ ngồi thoải mái để xem. giá khá đắt theo quan điểm của tôi là 120k. và không rẻ hơn nhiều nếu bạn xem vào buổi sáng,4,CGV Sư Vạn Hạnh,1
Waqqas Hanafi,6 tháng trước,"Lie-MAX và việc thiếu bỏng ngô muối đã buộc tôi phải bỏ một ngôi sao. Nếu không thì nó sạch sẽ và dễ tiếp cận, không cần phải xếp hàng dài và nhân viên nói tiếng Anh.",4,CGV Vincom Center Landmark,1
Phương Nguyen,5 tháng trước,"Xin chào CGV Celadon Tân Phú hôm 26/6 mình có dí xem suất cửu long thành trại lúc 10h10p và lúc ra là 12h30 ,và mình có đánh rơi ví ,trong đó gồm 1 căn cước 1 vài giấy tờ và 1 thẻ ngân hàng,không biết bên mình có thấy không ạ,em cảm ơn",4,CGV Celadon,1
Jared Nojima,7 năm trước,"Rạp chiếu phim rất sạch sẽ và đẹp. Bộ phim không bao giờ bắt đầu vào lúc bạn mua vé, nhưng đó là lúc bạn có thể vào rạp chiếu phim. Bỏng ngô ở đây ngon lắm! Hầu hết bỏng ngô ở Việt Nam đều ngọt nhưng bỏng ngô mặn là ngon nhất! Ghế ngồi …",4,CGV Vincom Gò vấp,1
임채익,5 năm trước,Đây là rạp chiếu phim đa rạp nằm trong một trung tâm mua sắm sang trọng ở phía Tây Nam thành phố Hồ Chí Minh. Đây là chuỗi rạp chiếu phim được đầu tư bởi Tập đoàn CJ của Hàn Quốc.,4,CGV Vivo City,1
Khiêm Lê,8 năm trước,"nhân viên nhiệt tình, phòng ốc đẹp, thoáng mát, ở ngay trung tâm thành phố nên có thể đi dạo chơi sang những nơi khác. Tuy nhiên phòng chiếu hơi nhỏ nên có ít ghế ngồi, giá vé mắc hơn nhưng không đáng kể so với những chi nhánh khác",4,CGV Liberty Citypoint,1
Moses P,một năm trước,"Rạp chiếu phim sạch sẽ với đội ngũ nhân viên thân thiện. Nó cũng được trang trí tốt. Tuy nhiên, việc đỗ xe máy có thể hơi phức tạp, nhiều lối vào/ra bị đóng. Nhìn chung là một nơi thú vị để xem phim.",4,CGV Thảo Điền,1
Thanh Nguyên,8 năm trước,"Rạp tương đối vắng nên không khí ở đây rất thích hợp cho những người thích yên tĩnh, thoải mái. Ghế ngồi chờ cũng rất nhiều.
Tuy nhiên, không gian hơi nhỏ.",4,CGV Liberty Citypoint,1
Phước Trần công,một năm trước,"CGV khá vắng, đi như kiểu bao cả rạp 🤣 ghế ngồi thoải mái, êm. Mình chọp ghế vip hàng đầu tiên nên nhìn khá ok. Vì ít khách nên ít nhân viên nốt. Khi vào gửi xe xong sẽ k có thang máy lên đó luôn đâu. Bạn phải cuốc bộ lên tầng trệt để dùng …",4,CGV Saigonres Nguyễn Xí,1
Tâm Minh,một tháng trước,"Bắp không được ngon cho lắm so với các rạp khác của cgv, nhà vệ sinh cũng cần được nâng cấp vì quá cũ và dơ, được cái rạp của cgv thì không có điểm gì để chê về chất lượng âm thanh, không gian chờ. …",4,CGV Celadon,1
LÊ HÙNG VỸ,một tháng trước,"Rạp rộng, chỗ ngồi khá OK, vì ở toà nhà nổi tiếng nên khách xem khá đông, nhân viên vui vẻ nhiệt tình, toilet sạch sẽ. Do gửi xe ở hầm toà nhà khá xa và một số toà có thể bị full chỗ gửi nên khuyên các bạn có xem ở đây thì nên đi sớm trước …",4,CGV Vincom Center Landmark,1
Tan Vinh Nguyen,3 năm trước,"Rạp CGV ở đây rất nhỏ (chỉ có 1 dãy gồm 4 hàng ghế) nhưng vẫn rất chất lượng như các rạp CGV khác. Dịch vụ tốt, phục vụ lịch sự.",4,CGV Liberty Citypoint,1
18 - Đỗ Thùy Dương,5 năm trước,"Rạp vắng, không thấy nhân viên đâu. Cũng không thấy nhân viên xé vé, vào rạp thì không ai hướng dẫn lên ngồi, làm khách ngồi nhầm chỗ tùm lum ảnh hưởng đến người khác.",4,CGV Satra Củ Chi,1
VNTN TT.,6 năm trước,"Tại đây có rất nhiều các mặt hàng từ bình dân cho đến thương hiệu, ăn uống có dủ các món á âu, hàn, thái....
Xem phim thì rạp ok màn hình rộng của CGV có nhiều phin hay nhiều phòng chiếu. …",4,CGV Vivo City,1
Thành Phan,4 tháng trước,"Năm ngoái mình có ghé chơi ! giờ mới có thời gian rì viu! mọi thứ ở đây ok, không gian mát mẻ, dịch vụ tạm ổn",4,CGV Giga Mall Thủ Đức,1
Hải Yến Nguyễn,6 năm trước,Chất lượng CGV thì thôi khỏi bàn. Mà có tầng lửng để ngồi chờ xem phim thì k có mở. Mọi người đứng tùm lum hết vì k có chỗ ngồi.,4,CGV Vincom Thủ Đức,1
Halie Nguyen,7 năm trước,"Rạp mới, trang trí đúng như style đó giờ của CGV. Điểm trừ là tòa nhà mới nên thang máy rất ghê, tù túng, 4 bức ván gỗ dựng 4 phía, như trong hòm ý. Đi thang máy lên lầu 5 là rạp, rồi đi thang cuộn xún lầu 4 …",4,CGV Saigonres Nguyễn Xí,1
Trần Duy,3 năm trước,"Xem phim Godzilla vs. Kong khá hài lòng. Rạp sạch sẽ, ghế ngồi thoải mái. Mình đi cùng bạn ngồi ghế couple nhưng không cao lắm, có thế bị 1 số người cao ngồi hàng ghế trên che khuất 1 phần màn hình.",4,CGV Vincom Center Landmark,1
BinNa Geum,9 tháng trước,"mình hay xem CGV ở rạp vạn hạnh mall, nay lần đầu xem ở rạp Hùng Vương
Ghế ngồi xịn, rạp okie. Có điều lúc hết phim chưa kịp đi ra thì bác dọn vệ sinh đã nhắc nhở mọi ng đi ra ngoài để vệ sinh, thì nhắc cũng okie nè nhưng giọng bác …",4,CGV Hùng Vương Plaza,1
Olivia Mai,một năm trước,"Rạp chiếu phim tuy nhỏ nhưng ngồi rất thoải mái, chất lượng rạp mới. Vị trí trung tâm. Xem ở đây rất riêng tư",4,CGV Liberty Citypoint,1
David Hayter,4 năm trước,Trung tâm mua sắm này có rất nhiều cửa hàng và nhà hàng. Khu vui chơi ngoài trời ở tầng trên rất tuyệt vời cho trẻ em. Các đài phun nước làm cho nơi đây trở thành một nơi tuyệt vời để các bậc cha mẹ nghỉ ngơi và cho con cái họ giải nhiệt. …,4,CGV Vivo City,1
Bảo Duy,6 năm trước,"Tất cả mọi thứ đều tốt. Các trang trí làm cho ấm áp, thoải mái. Dịch vụ này rất chuyên nghiệp và thân thiện. Và giá cả phù hợp với chất lượng. Bạn kiếm được 110.000đ/vé và 98.000đ/combo coca+bắp rang.",4,CGV Vivo City,1
יוסף שרה,5 năm trước,"Một rạp chiếu phim đẹp, không có nhiều phim để lựa chọn, nhưng ở khắp Việt Nam đều như vậy, vấn đề là ở đơn vị, hơi phức tạp để đến được",4,CGV Sư Vạn Hạnh,1
Chung Tran,8 năm trước,"Nhân viên lịch sự, thường khá đông vào cuối tuần, đi thang máy lưu ý nếu vội nên đi thanh máy cuối tòa nhà (gần Nguyễn Kim) sẽ nhanh hơn",4,CGV Pandora City,1
Phong Nguyễn Thanh,5 năm trước,"rạp cũng khá lớn, nhưng khu này ít khách, đi vào cảm thấy thoải mái, không quá ngột ngạt. Nhân viên dễ thương, nói chuyện có duyên. Chất lượng màn hình ổn, màu sắc tốt, ghế ngồi thoải mái, đôi lúc hơi lạnh vì rạp không quá đông người",4,CGV Thảo Điền,1
Minh Thw,3 năm trước,"Rạp chiếu có vẻ rộng hơn các rạp khác hay sao ấy. Chỗ chờ rộng, nhiều phim, nên book vé trước vì khá nhiều người đi xem. Nhân viên chậm",4,CGV Pandora City,1
Tran Sandy,2 tháng trước,Một rạp chiếu phim nhỏ xinh bên trong trung tâm thương mại. Những chiếc ghế không quá thoải mái nhưng chúng có tác dụng giúp bạn có chỗ ngồi khi xem phim.,4,CGV Vivo City,1
HOÀNG HOA,một năm trước,Hình như ở đây không welcome khách ngoài vào. Đi coi phim mà tìm cái hầm gửi xe ná thở lun. Rạp chiếu khá vắng. Chắc do phim không hot.,4,CGV Vincom Center Landmark,1
Ha CamPhuong,6 năm trước,Chất lượng tốt nhưng giá cả rất hợp lý. Lựa chọn tốt trong khi các rạp CGV khác luôn kín chỗ và đông khách.,4,CGV Vincom Gò vấp,1
Vi Cao,5 năm trước,"Địa điểm giải trí rộng rãi, sạch sẽ. Nhân viên dễ thương, nhiệt tình.
Bên trong rạp chiếu film cũng rộng rãi, ghế ngồi thoải mái và sạch sẽ. Chất lượng âm thanh thì tuyệt vời. Có lần coi film ra còn được mời ăn bánh miễn phí nữa …",4,CGV Pearl Plaza,1
bao bao,4 năm trước,Có chỗ đậu ô tô miễn phí và xe máy thu phí (vì có mái che). Tiện lợi cho gặp gỡ bạn bè và mua sắm. Có cửa hàng Daiso nhiều mặt hàng độc lạ mà tiện ích cao,4,CGV Satra Củ Chi,1
Loan Vu,2 năm trước,"Mình cùng bạn xem chìa khóa trăm tỉ ở đây, rạp ổn nhưng chắc do chọn rạp số 4  nên cảm thấy hơi nhỏ, nhưng khi hòa vào phim thì ko còn cảm giác gì nữa haha",4,CGV Pearl Plaza,1
HuongCam Trinh,một năm trước,"Rạp chiếu phim đẹp, sạch sẽ có chỗ ngồi chờ cho khách chụp hình và chờ đợi, nhân viên tư vấn nhanh nhẹn nhiệt tình mời khách. Mình đi buổi tối ngày thường k đông người.",4,CGV Lý Chính Thắng,1
lee justin,7 năm trước,tôi đã xem kings man ở rạp chiếu phim 4d~ thực sự rất thú vị và tuyệt vời~ nhưng sau 10 phút~ trở nên mệt mỏi~ đau đầu~.. đó là không có ai xem phim 4d bình thường cả~,4,CGV Vivo City,1
Tung Duong,8 năm trước,Phim hay nhưng giá khá đắt. Bạn nên cố gắng xem tại đây vào ngày giảm giá hoặc thứ Hai cuối cùng hàng tháng.,4,CGV Vivo City,1
Thuy Duyen,2 năm trước,"lần đầu đi cùng người yêu, mua 2 vé được đúng 2 ghế ngồi.
Phim hay, hấp dẫn, nhiệt tình, ấm áp tình người. dịch vụ rạp ok, vui vẻ. Lần sau sẽ rủ người yêu mới đến cùng",4,CGV Saigonres Nguyễn Xí,1
Trí Trương,5 năm trước,"Gia đình mình đã nhiều lần đi Vạn Hạnh mall, nơi này có đầy đủ tiện ích mua sắm, ăn uống, vui chơi, xem phim, tập thể dụng ... Nằm trên đường Sư Vạn Hạnh giữa nút giao 3/2 giao thông rất thuận tiện",4,CGV Sư Vạn Hạnh,1
Lâm Nguyễn Bá,7 tháng trước,"Hơi vắng khách nhưng mình thích, ko cần chen lấn, tới là có phim coi ngay, điểm trừ là khu vực chờ nóng quá.",4,CGV Pearl Plaza,1
Danhdc,6 năm trước,"Vị trí tốt, có ghế đôi.
Vắng có thể do rạp nhỏ, có thể làm KH ít đi sự lựa chọn ghế ngồi, và khi đông có thể ko còn chỗ ngồi phù hợp nếu đến mua vé offline
Nên mua vé online trước khi đến!",4,CGV Liberty Citypoint,1
Nguyen Huy (Marshall),3 năm trước,"Chỉ mất 5 phút đi bộ từ Vinhome đến đây để có chuyện Lẩu (Landmark 81 không có, thay vào đó chỉ có Haidilao)",4,CGV Pearl Plaza,1
